datetime,pm2_5,pm10,nitrogen_dioxide,ozone,temperature,humidity,wind_speed,precipitation,total_ridership,hour,day_of_week,month,is_weekend
2024-06-01 00:00:00,9.1,13.0,27.5,45.0,19.8,45,11.7,0.0,41936.0,0,5,6,1
2024-06-01 01:00:00,9.3,13.3,27.3,44.0,18.1,51,9.6,0.0,19126.0,1,5,6,1
2024-06-01 02:00:00,8.9,12.7,26.8,42.0,17.2,57,11.0,0.0,10526.0,2,5,6,1
2024-06-01 03:00:00,8.4,12.0,25.5,42.0,17.2,49,13.8,0.0,8130.0,3,5,6,1
2024-06-01 04:00:00,7.8,11.1,22.5,44.0,15.9,52,10.4,0.0,11473.0,4,5,6,1
2024-06-01 05:00:00,7.2,10.2,18.7,48.0,14.4,58,9.2,0.0,24316.0,5,5,6,1
2024-06-01 06:00:00,6.3,8.9,15.4,52.0,13.7,61,8.9,0.0,48141.0,6,5,6,1
2024-06-01 07:00:00,5.6,7.9,13.1,55.0,13.1,63,8.7,0.0,72012.0,7,5,6,1
2024-06-01 08:00:00,5.1,7.3,11.3,58.0,13.2,61,10.3,0.0,90513.0,8,5,6,1
2024-06-01 09:00:00,5.1,7.2,10.3,60.0,13.6,57,11.7,0.0,108208.0,9,5,6,1
2024-06-01 10:00:00,5.6,8.0,10.5,59.0,14.3,56,13.9,0.0,122678.0,10,5,6,1
2024-06-01 11:00:00,6.8,9.7,11.5,56.0,16.2,54,16.0,0.0,136845.0,11,5,6,1
2024-06-01 12:00:00,9.4,13.5,11.4,60.0,18.5,52,13.0,0.0,155529.0,12,5,6,1
2024-06-01 13:00:00,12.2,17.5,11.0,69.0,20.5,47,14.0,0.0,172245.0,13,5,6,1
2024-06-01 14:00:00,13.5,19.3,10.5,81.0,22.4,43,14.3,0.0,180180.0,14,5,6,1
2024-06-01 15:00:00,13.1,18.7,9.5,91.0,24.2,39,10.8,0.0,181696.0,15,5,6,1
2024-06-01 16:00:00,11.0,15.7,7.8,97.0,25.7,34,8.7,0.0,183050.0,16,5,6,1
2024-06-01 17:00:00,7.8,11.1,5.6,102.0,26.9,30,8.1,0.0,186760.0,17,5,6,1
2024-06-01 18:00:00,6.8,9.7,4.2,105.0,27.5,28,8.9,0.0,173931.0,18,5,6,1
2024-06-01 19:00:00,6.8,9.8,2.5,109.0,28.0,27,11.3,0.0,151643.0,19,5,6,1
2024-06-01 20:00:00,6.9,10.0,1.4,113.0,28.1,27,13.8,0.0,118904.0,20,5,6,1
2024-06-01 21:00:00,7.2,10.4,5.1,108.0,28.1,27,13.4,0.0,103757.0,21,5,6,1
