datetime,pm2_5,pm10,nitrogen_dioxide,ozone
2024-06-01 00:00:00,9.1,13.0,27.5,45.0
2024-06-01 01:00:00,9.3,13.3,27.3,44.0
2024-06-01 02:00:00,8.9,12.7,26.8,42.0
2024-06-01 03:00:00,8.4,12.0,25.5,42.0
2024-06-01 04:00:00,7.8,11.1,22.5,44.0
2024-06-01 05:00:00,7.2,10.2,18.7,48.0
2024-06-01 06:00:00,6.3,8.9,15.4,52.0
2024-06-01 07:00:00,5.6,7.9,13.1,55.0
2024-06-01 08:00:00,5.1,7.3,11.3,58.0
2024-06-01 09:00:00,5.1,7.2,10.3,60.0
2024-06-01 10:00:00,5.6,8.0,10.5,59.0
2024-06-01 11:00:00,6.8,9.7,11.5,56.0
2024-06-01 12:00:00,9.4,13.5,11.4,60.0
2024-06-01 13:00:00,12.2,17.5,11.0,69.0
2024-06-01 14:00:00,13.5,19.3,10.5,81.0
2024-06-01 15:00:00,13.1,18.7,9.5,91.0
2024-06-01 16:00:00,11.0,15.7,7.8,97.0
2024-06-01 17:00:00,7.8,11.1,5.6,102.0
2024-06-01 18:00:00,6.8,9.7,4.2,105.0
2024-06-01 19:00:00,6.8,9.8,2.5,109.0
2024-06-01 20:00:00,6.9,10.0,1.4,113.0
2024-06-01 21:00:00,7.2,10.4,5.1,108.0
2024-06-01 22:00:00,8.6,12.4,18.1,88.0
2024-06-01 23:00:00,13.8,19.7,35.8,60.0
2024-06-02 00:00:00,28.3,40.4,65.5,27.0
2024-06-02 01:00:00,29.1,41.6,69.3,21.0
2024-06-02 02:00:00,29.0,41.4,74.3,12.0
2024-06-02 03:00:00,29.7,42.4,75.9,7.0
2024-06-02 04:00:00,29.3,41.8,71.6,7.0
2024-06-02 05:00:00,28.3,40.5,63.9,11.0
2024-06-02 06:00:00,26.0,37.0,55.7,16.0
2024-06-02 07:00:00,23.5,33.4,47.1,23.0
2024-06-02 08:00:00,20.7,29.6,38.0,33.0
2024-06-02 09:00:00,18.9,27.1,31.1,39.0
