Date,Close,AdjClose,Volume,Currency
2016-07-13,1622.0,1622.0,120830,GBp
2016-07-14,1651.0,1651.0,116365,GBp
2016-07-15,1616.0,1616.0,94596,GBp
2016-07-18,1576.0,1576.0,102505,GBp
2016-07-19,1543.0,1543.0,181595,GBp
2016-07-20,1525.0,1525.0,393295,GBp
2016-07-21,1425.0,1425.0,476606,GBp
2016-07-22,1428.0,1428.0,277971,GBp
2016-07-25,1450.0,1450.0,187748,GBp
2016-07-26,1426.0,1426.0,225152,GBp
2016-07-27,1441.0,1441.0,259853,GBp
2016-07-28,1492.0,1492.0,240185,GBp
2016-07-29,1549.0,1549.0,212126,GBp
2016-08-01,1545.0,1545.0,166419,GBp
2016-08-02,1560.0,1560.0,125708,GBp
2016-08-03,1525.0,1525.0,88474,GBp
2016-08-04,1525.0,1525.0,125943,GBp
2016-08-05,1538.0,1538.0,64905,GBp
2016-08-08,1561.0,1561.0,69787,GBp
2016-08-09,1579.0,1579.0,64158,GBp
2016-08-10,1575.0,1575.0,122370,GBp
2016-08-11,1580.0,1580.0,72210,GBp
2016-08-12,1593.0,1593.0,137734,GBp
2016-08-15,1595.0,1595.0,44799,GBp
2016-08-16,1590.0,1590.0,134609,GBp
2016-08-17,1570.0,1570.0,88815,GBp
2016-08-18,1593.0,1593.0,54007,GBp
2016-08-19,1588.0,1588.0,33543,GBp
2016-08-22,1588.0,1588.0,46205,GBp
2016-08-23,1570.0,1570.0,86982,GBp
2016-08-24,1559.0,1559.0,123845,GBp
2016-08-25,1527.0,1527.0,110926,GBp
2016-08-26,1535.0,1535.0,100582,GBp
2016-08-30,1569.0,1569.0,116476,GBp
2016-08-31,1597.0,1597.0,227431,GBp
2016-09-01,1621.0,1621.0,202789,GBp
2016-09-02,1614.0,1614.0,149919,GBp
2016-09-05,1626.0,1626.0,134838,GBp
2016-09-06,1653.0,1653.0,146014,GBp
2016-09-07,1660.0,1660.0,97622,GBp
2016-09-08,1715.0,1715.0,241073,GBp
2016-09-09,1688.0,1688.0,110695,GBp
2016-09-12,1665.0,1665.0,81261,GBp
2016-09-13,1648.0,1648.0,84673,GBp
2016-09-14,1643.0,1643.0,100371,GBp
2016-09-15,1640.0,1640.0,58665,GBp
2016-09-16,1610.0,1610.0,113668,GBp
2016-09-19,1609.0,1609.0,71680,GBp
2016-09-20,1600.0,1600.0,85521,GBp
2016-09-21,1606.0,1606.0,52188,GBp
2016-09-22,1615.0,1615.0,99663,GBp
2016-09-23,1620.0,1620.0,60259,GBp
2016-09-26,1613.0,1613.0,168460,GBp
2016-09-27,1622.0,1622.0,230908,GBp
2016-09-28,1657.0,1657.0,53227,GBp
2016-09-29,1649.0,1649.0,168915,GBp
2016-09-30,1640.0,1640.0,241255,GBp
2016-10-03,1657.0,1657.0,358626,GBp
2016-10-04,1677.0,1677.0,332403,GBp
2016-10-05,1677.0,1677.0,181936,GBp
2016-10-06,1629.0,1629.0,216141,GBp
2016-10-07,1569.0,1569.0,341378,GBp
2016-10-10,1533.0,1533.0,217207,GBp
2016-10-11,1539.0,1539.0,352096,GBp
2016-10-12,1532.0,1532.0,348995,GBp
2016-10-13,1477.0,1477.0,260862,GBp
2016-10-14,1519.0,1519.0,305097,GBp
2016-10-17,1484.0,1484.0,460258,GBp
2016-10-18,1479.0,1479.0,932693,GBp
2016-10-19,1514.0,1514.0,871977,GBp
2016-10-20,1517.0,1517.0,595480,GBp
2016-10-21,1503.0,1503.0,452930,GBp
2016-10-24,1519.0,1519.0,323043,GBp
2016-10-25,1537.0,1537.0,393436,GBp
2016-10-26,1531.0,1531.0,469325,GBp
2016-10-27,1540.0,1540.0,289999,GBp
2016-10-28,1531.0,1531.0,319458,GBp
2016-10-31,1511.0,1511.0,241796,GBp
2016-11-01,1524.0,1524.0,150789,GBp
2016-11-02,1531.0,1531.0,927024,GBp
2016-11-03,1574.0,1574.0,475951,GBp
2016-11-04,1554.0,1554.0,221761,GBp
